,date,variable,value
667,2012-07-31,added_ticker,ESV
882,2012-09-05,removed_ticker,SHLD
666,2012-09-05,added_ticker,LYB
664,2012-10-01,added_ticker,ADT
665,2012-10-01,added_ticker,PNR
881,2012-10-01,removed_ticker,DV
880,2012-10-01,removed_ticker,LXK
879,2012-10-02,removed_ticker,ANR
329,2012-10-02,added_ticker,MDLZ
663,2012-10-02,added_ticker,KRFT
662,2012-10-10,added_ticker,PETM
878,2012-10-10,removed_ticker,SUN
877,2012-12-03,removed_ticker,CBE
156,2012-12-03,added_ticker,DG
876,2012-12-11,removed_ticker,RRD
660,2012-12-11,added_ticker,GRMN
213,2012-12-12,added_ticker,GRMN
875,2012-12-21,removed_ticker,TIE
659,2012-12-21,added_ticker,DLPH
51,2012-12-24,added_ticker,APTV
658,2012-12-31,added_ticker,ABBV
874,2012-12-31,removed_ticker,FII
390,2013-02-15,added_ticker,PVH
873,2013-02-15,removed_ticker,BIG
872,2013-04-30,removed_ticker,PCS
656,2013-04-30,added_ticker,REGN
400,2013-05-01,added_ticker,REGN
655,2013-05-08,added_ticker,MAC
871,2013-05-08,removed_ticker,CVH
304,2013-05-09,added_ticker,MAC
870,2013-05-23,removed_ticker,DF
654,2013-05-23,added_ticker,KSU
276,2013-05-24,added_ticker,KSU
869,2013-06-06,removed_ticker,HNZ
218,2013-06-06,added_ticker,GM
652,2013-06-21,added_ticker,ZTS
868,2013-06-21,removed_ticker,FHN
651,2013-06-28,added_ticker,FOXA
867,2013-06-28,removed_ticker,APOL
208,2013-07-01,added_ticker,FOXA
650,2013-07-08,added_ticker,NLSN
866,2013-07-08,removed_ticker,S
347,2013-07-09,added_ticker,NLSN
344,2013-08-01,added_ticker,NWSA
649,2013-09-10,added_ticker,DAL
865,2013-09-10,removed_ticker,BMC
147,2013-09-11,added_ticker,DAL
864,2013-09-20,removed_ticker,SAI
647,2013-09-20,added_ticker,VRTX
863,2013-09-20,removed_ticker,AMD
648,2013-09-20,added_ticker,AME
39,2013-09-23,added_ticker,AME
474,2013-09-23,added_ticker,VRTX
862,2013-10-29,removed_ticker,DELL
646,2013-10-29,added_ticker,RIG
90,2013-11-13,added_ticker,CPRI
